year,EW,buckets,startDay,endDay,inc,N_H,L_H,local
2015,27,7,915,922,0,48228704,73.95,colombia
2015,28,7,922,929,0,48228704,73.95,colombia
2015,29,7,929,936,0,48228704,73.95,colombia
2015,30,7,936,943,0,48228704,73.95,colombia
2015,31,7,943,950,0,48228704,73.95,colombia
2015,32,7,950,957,39,48228704,73.95,colombia
2015,33,7,957,964,35,48228704,73.95,colombia
2015,34,7,964,971,0,48228704,73.95,colombia
2015,35,7,971,978,0,48228704,73.95,colombia
2015,36,7,978,985,12,48228704,73.95,colombia
2015,37,7,985,992,11,48228704,73.95,colombia
2015,38,7,992,999,27,48228704,73.95,colombia
2015,39,7,999,1006,30,48228704,73.95,colombia
2015,40,7,1006,1013,46,48228704,73.95,colombia
2015,41,7,1013,1020,92,48228704,73.95,colombia
2015,42,7,1020,1027,65,48228704,73.95,colombia
2015,43,7,1027,1034,88,48228704,73.95,colombia
2015,44,7,1034,1041,49,48228704,73.95,colombia
2015,45,7,1041,1048,29,48228704,73.95,colombia
2015,46,7,1048,1055,45,48228704,73.95,colombia
2015,47,7,1055,1062,25,48228704,73.95,colombia
2015,48,7,1062,1069,44,48228704,73.95,colombia
2015,49,7,1069,1076,56,48228704,73.95,colombia
2015,50,7,1076,1083,86,48228704,73.95,colombia
2015,51,7,1083,1090,90,48228704,73.95,colombia
2015,52,7,1090,1097,101,49067981,73.95,colombia
2016,1,7,1097,1104,144,48654292,73.95,colombia
2016,2,7,1104,1111,248,48654293,73.95,colombia
2016,3,7,1111,1118,356,48654294,73.95,colombia
2016,4,7,1118,1125,537,48654295,73.95,colombia
2016,5,7,1125,1132,761,48654296,73.95,colombia
2016,6,7,1132,1139,761,48654297,73.95,colombia
2016,7,7,1139,1146,645,48654298,73.95,colombia
2016,8,7,1146,1153,506,48654299,73.95,colombia
2016,9,7,1153,1160,393,48654300,73.95,colombia
2016,10,7,1160,1167,382,48654301,73.95,colombia
2016,11,7,1167,1174,381,48654302,73.95,colombia
2016,12,7,1174,1181,335,48654303,73.95,colombia
2016,13,7,1181,1188,257,48654304,73.95,colombia
2016,14,7,1188,1195,222,48654305,73.95,colombia
2016,15,7,1195,1202,276,48654306,73.95,colombia
