Week,zika,zika+microcefalia,microcefalia
2015-01-04,2,0,0
2015-01-11,3,0,0
2015-01-18,1,0,0
2015-01-25,4,0,0
2015-02-01,2,0,0
2015-02-08,1,0,0
2015-02-15,2,0,0
2015-02-22,1,0,0
2015-03-01,2,0,0
2015-03-08,3,0,0
2015-03-15,3,0,0
2015-03-22,2,0,0
2015-03-29,3,0,0
2015-04-05,3,0,0
2015-04-12,3,0,0
2015-04-19,2,0,0
2015-04-26,18,0,0
2015-05-03,29,0,0
2015-05-10,41,0,0
2015-05-17,45,0,0
2015-05-24,45,0,0
2015-05-31,46,0,0
2015-06-07,38,0,0
2015-06-14,41,0,0
2015-06-21,38,0,0
2015-06-28,40,0,1
2015-07-05,53,0,0
2015-07-12,43,0,0
2015-07-19,32,0,0
2015-07-26,28,0,0
2015-08-02,20,0,0
2015-08-09,15,0,0
2015-08-16,15,0,0
2015-08-23,16,0,1
2015-08-30,10,0,0
2015-09-06,9,0,1
2015-09-13,6,0,1
2015-09-20,8,0,0
2015-09-27,5,0,0
2015-10-04,5,0,0
2015-10-11,4,0,0
2015-10-18,6,0,0
2015-10-25,5,0,1
2015-11-01,4,0,0
2015-11-08,5,0,27
2015-11-15,12,18,35
2015-11-22,15,48,50
2015-11-29,33,62,63
2015-12-06,46,100,100
2015-12-13,27,43,36
2015-12-20,18,5,17
2015-12-27,17,9,11
2016-01-03,16,15,10
2016-01-10,18,26,13
2016-01-17,20,7,17
2016-01-24,33,33,22
2016-01-31,60,44,41
2016-02-07,77,66,40
2016-02-14,89,78,46
2016-02-21,95,99,44
2016-02-28,100,49,36
2016-03-06,87,49,25
2016-03-13,60,42,27
2016-03-20,54,43,18
2016-03-27,62,39,20
2016-04-03,53,49,18
2016-04-10,52,16,14
2016-04-17,41,24,14
2016-04-24,36,25,13
2016-05-01,29,23,10
2016-05-08,28,7,11
2016-05-15,25,19,8
2016-05-22,20,13,8
2016-05-29,21,16,8
2016-06-05,19,6,9
2016-06-12,14,10,7
2016-06-19,8,0,4
2016-06-26,8,3,4
2016-07-03,10,0,5
2016-07-10,10,0,5
2016-07-17,10,6,5
2016-07-24,10,6,4
2016-07-31,10,15,3
2016-08-07,14,3,4
2016-08-14,9,3,4
2016-08-21,8,3,4
2016-08-28,6,3,5
2016-09-04,7,13,3
2016-09-11,7,6,3
2016-09-18,6,25,5
2016-09-25,7,3,3
2016-10-02,6,6,3
2016-10-09,6,0,2
2016-10-16,8,9,4
2016-10-23,8,12,4
2016-10-30,9,19,5
2016-11-06,9,6,4
2016-11-13,5,6,4
2016-11-20,5,6,5
2016-11-27,6,9,4
2016-12-04,7,13,3
2016-12-11,6,10,3
2016-12-18,4,0,2
2016-12-25,5,4,2
2017-01-01,4,0,1
2017-01-08,6,3,2
2017-01-15,7,12,2
2017-01-22,7,6,2
2017-01-29,5,0,1
2017-02-05,5,3,2
2017-02-12,6,0,3
2017-02-19,5,6,2
2017-02-26,5,3,2
2017-03-05,6,0,2
2017-03-12,7,3,3
2017-03-19,6,17,3
2017-03-26,8,0,3
2017-04-02,8,6,4
2017-04-09,7,0,2
2017-04-16,5,3,2
2017-04-23,6,3,2
2017-04-30,5,0,2
2017-05-07,5,9,3
2017-05-14,5,0,2
