buckets,startDay,endDay,microCeph,births,local,N_H,L_H
31,365,396,0,10814,pernambuco,9345173,73
28,396,424,2,12670,pernambuco,9345173,73
31,424,455,1,12745,pernambuco,9345173,73
30,455,485,2,12769,pernambuco,9345173,73
31,485,516,1,12014,pernambuco,9345173,73
30,516,546,1,12363,pernambuco,9345173,73
31,546,577,0,12242,pernambuco,9345173,73
31,577,608,1,11968,pernambuco,9345173,73
30,608,638,1,11918,pernambuco,9345173,73
31,638,669,3,11091,pernambuco,9345173,73
30,669,699,0,11463,pernambuco,9345173,73
31,699,730,1,11689,pernambuco,9345173,73
31,730,761,2,11173,pernambuco,9345173,73
28,761,789,1,13317,pernambuco,9345173,73
31,789,820,5,12932,pernambuco,9345173,73
30,820,850,2,13042,pernambuco,9345173,73
31,850,881,1,12246,pernambuco,9345173,73
30,881,911,2,12431,pernambuco,9345173,73
31,911,942,13,11894,pernambuco,9345173,73
31,942,973,28,12258,pernambuco,9345173,73
30,973,1003,98,11867,pernambuco,9345173,73
31,1003,1034,206,11090,pernambuco,9345173,73
30,1034,1064,136,11099,pernambuco,9345173,73
31,1064,1095,81,10943,pernambuco,9345173,73
31,1095,1126,53,11023,pernambuco,9345173,73
28,1126,1154,47,12201,pernambuco,9345173,73
31,1154,1185,10,12790,pernambuco,9345173,73
30,1185,1215,13,12883,pernambuco,9345173,73
31,1215,1246,11,11922,pernambuco,9345173,73
30,1246,1276,8,11845,pernambuco,9345173,73
31,1276,1307,4,10487,pernambuco,9345173,73
31,1307,1338,2,9750,pernambuco,9345173,73
30,1338,1368,6,9104,pernambuco,9345173,73
31,1368,1399,4,8525,pernambuco,9345173,73
30,1399,1429,4,8971,pernambuco,9345173,73
31,365,396,0,1303,acre,803513,73.3
28,396,424,0,1440,acre,803513,73.3
31,424,455,0,1424,acre,803513,73.3
30,455,485,0,1586,acre,803513,73.3
31,485,516,0,1480,acre,803513,73.3
30,516,546,0,1454,acre,803513,73.3
31,546,577,0,1427,acre,803513,73.3
31,577,608,0,1402,acre,803513,73.3
30,608,638,0,1395,acre,803513,73.3
31,638,669,0,1367,acre,803513,73.3
30,669,699,0,1416,acre,803513,73.3
31,699,730,0,1370,acre,803513,73.3
31,730,761,1,1333,acre,803513,73.3
28,761,789,1,1528,acre,803513,73.3
31,789,820,1,1469,acre,803513,73.3
30,820,850,0,1514,acre,803513,73.3
31,850,881,0,1395,acre,803513,73.3
30,881,911,0,1325,acre,803513,73.3
31,911,942,1,1368,acre,803513,73.3
31,942,973,0,1442,acre,803513,73.3
30,973,1003,0,1421,acre,803513,73.3
31,1003,1034,5,1402,acre,803513,73.3
30,1034,1064,9,1403,acre,803513,73.3
31,1064,1095,10,1385,acre,803513,73.3
31,1095,1126,8,1365,acre,803513,73.3
28,1126,1154,5,1327,acre,803513,73.3
31,1154,1185,2,1373,acre,803513,73.3
30,1185,1215,0,1326,acre,803513,73.3
31,1215,1246,3,1255,acre,803513,73.3
30,1246,1276,1,1274,acre,803513,73.3
31,1276,1307,2,1279,acre,803513,73.3
31,1307,1338,1,1341,acre,803513,73.3
30,1338,1368,2,1269,acre,803513,73.3
31,1368,1399,2,1168,acre,803513,73.3
30,1399,1429,1,1160,acre,803513,73.3
31,365,396,0,3974,alagoas,3340932,70.8
28,396,424,0,4516,alagoas,3340932,70.8
31,424,455,0,4445,alagoas,3340932,70.8
30,455,485,0,4893,alagoas,3340932,70.8
31,485,516,1,4414,alagoas,3340932,70.8
30,516,546,0,4399,alagoas,3340932,70.8
31,546,577,0,4207,alagoas,3340932,70.8
31,577,608,1,4415,alagoas,3340932,70.8
30,608,638,0,4323,alagoas,3340932,70.8
31,638,669,0,4081,alagoas,3340932,70.8
30,669,699,0,3999,alagoas,3340932,70.8
31,699,730,0,4179,alagoas,3340932,70.8
31,730,761,0,3881,alagoas,3340932,70.8
28,761,789,0,4901,alagoas,3340932,70.8
31,789,820,0,4564,alagoas,3340932,70.8
30,820,850,0,4805,alagoas,3340932,70.8
31,850,881,0,4491,alagoas,3340932,70.8
30,881,911,3,4436,alagoas,3340932,70.8
31,911,942,0,4188,alagoas,3340932,70.8
31,942,973,0,4382,alagoas,3340932,70.8
30,973,1003,0,4304,alagoas,3340932,70.8
31,1003,1034,17,4061,alagoas,3340932,70.8
30,1034,1064,8,4090,alagoas,3340932,70.8
31,1064,1095,7,3868,alagoas,3340932,70.8
31,1095,1126,15,3904,alagoas,3340932,70.8
28,1126,1154,13,4365,alagoas,3340932,70.8
31,1154,1185,12,4240,alagoas,3340932,70.8
30,1185,1215,5,4640,alagoas,3340932,70.8
31,1215,1246,1,4272,alagoas,3340932,70.8
30,1246,1276,2,4352,alagoas,3340932,70.8
31,1276,1307,1,3910,alagoas,3340932,70.8
31,1307,1338,4,3763,alagoas,3340932,70.8
30,1338,1368,1,3706,alagoas,3340932,70.8
31,1368,1399,0,3425,alagoas,3340932,70.8
30,1399,1429,1,3369,alagoas,3340932,70.8
31,365,396,0,1171,amapa,766679,73.4
28,396,424,0,1365,amapa,766679,73.4
31,424,455,0,1383,amapa,766679,73.4
30,455,485,0,1316,amapa,766679,73.4
31,485,516,0,1255,amapa,766679,73.4
30,516,546,0,1281,amapa,766679,73.4
31,546,577,0,1351,amapa,766679,73.4
31,577,608,0,1471,amapa,766679,73.4
30,608,638,0,1443,amapa,766679,73.4
31,638,669,0,1454,amapa,766679,73.4
30,669,699,0,1415,amapa,766679,73.4
31,699,730,0,1369,amapa,766679,73.4
31,730,761,0,1205,amapa,766679,73.4
28,761,789,0,1287,amapa,766679,73.4
31,789,820,0,1268,amapa,766679,73.4
30,820,850,0,1283,amapa,766679,73.4
31,850,881,1,1279,amapa,766679,73.4
30,881,911,0,1289,amapa,766679,73.4
31,911,942,0,1302,amapa,766679,73.4
31,942,973,0,1393,amapa,766679,73.4
30,973,1003,1,1410,amapa,766679,73.4
31,1003,1034,0,1303,amapa,766679,73.4
30,1034,1064,0,1370,amapa,766679,73.4
31,1064,1095,0,1300,amapa,766679,73.4
31,1095,1126,0,1222,amapa,766679,73.4
28,1126,1154,0,1312,amapa,766679,73.4
31,1154,1185,0,1208,amapa,766679,73.4
30,1185,1215,0,1210,amapa,766679,73.4
31,1215,1246,0,1306,amapa,766679,73.4
