startDay,endDay,buckets,microCeph,births,N_H,L_H,local
733,740,7,0,3605,15276566,73,bahia
740,747,7,0,3605,15276566,73,bahia
747,754,7,0,3605,15276566,73,bahia
754,761,7,0,3605,15276566,73,bahia
761,768,7,0,4872,15276566,73,bahia
768,775,7,0,4872,15276566,73,bahia
775,782,7,0,4872,15276566,73,bahia
782,789,7,0,4872,15276566,73,bahia
789,796,7,0,4123,15276566,73,bahia
796,803,7,0,4123,15276566,73,bahia
803,810,7,1,4123,15276566,73,bahia
810,817,7,0,4123,15276566,73,bahia
817,824,7,0,4291,15276566,73,bahia
824,831,7,0,4417,15276566,73,bahia
831,838,7,0,4417,15276566,73,bahia
838,845,7,0,4417,15276566,73,bahia
845,852,7,0,4323,15276566,73,bahia
852,859,7,0,4088,15276566,73,bahia
859,866,7,0,4088,15276566,73,bahia
866,873,7,0,4088,15276566,73,bahia
873,880,7,0,4088,15276566,73,bahia
880,887,7,2,4130,15276566,73,bahia
887,894,7,0,4137,15276566,73,bahia
894,901,7,0,4137,15276566,73,bahia
901,908,7,0,4137,15276566,73,bahia
908,915,7,0,3925,15276566,73,bahia
915,922,7,2,3766,15276566,73,bahia
922,929,7,0,3766,15276566,73,bahia
929,936,7,3,3766,15276566,73,bahia
936,943,7,2,3778,15276566,73,bahia
943,950,7,3,3850,15276566,73,bahia
950,957,7,9,3850,15276566,73,bahia
957,964,7,13,3850,15276566,73,bahia
964,971,7,18,3850,15276566,73,bahia
971,978,7,15,3875,15276566,73,bahia
978,985,7,5,3885,15276566,73,bahia
985,992,7,12,3885,15276566,73,bahia
992,999,7,24,3885,15276566,73,bahia
999,1006,7,14,3723,15276566,73,bahia
1006,1013,7,16,3507,15276566,73,bahia
1013,1020,7,21,3507,15276566,73,bahia
1020,1027,7,20,3507,15276566,73,bahia
1027,1034,7,25,3507,15276566,73,bahia
1034,1041,7,30,3619,15276566,73,bahia
1041,1048,7,23,3619,15276566,73,bahia
1048,1055,7,24,3619,15276566,73,bahia
1055,1062,7,41,3619,15276566,73,bahia
1062,1069,7,77,3609,15276566,73,bahia
1069,1076,7,87,3605,15276566,73,bahia
1076,1083,7,60,3605,15276566,73,bahia
1083,1090,7,60,3605,15276566,73,bahia
1090,1097,7,52,3607,15276566,73,bahia
1097,1104,7,15,3612,15276566,73,bahia
1104,1111,7,66,3612,15276566,73,bahia
1111,1118,7,57,3612,15276566,73,bahia
1118,1125,7,46,3612,15276566,73,bahia
1125,1132,7,61,4494,15276566,73,bahia
1132,1139,7,65,4641,15276566,73,bahia
1139,1146,7,37,4641,15276566,73,bahia
1146,1153,7,43,4641,15276566,73,bahia
1153,1160,7,31,4089,15276566,73,bahia
1160,1167,7,32,3997,15276566,73,bahia
1167,1174,7,26,3997,15276566,73,bahia
1174,1181,7,26,3997,15276566,73,bahia
1181,1188,7,6,4174,15276566,73,bahia
1188,1195,7,15,4410,15276566,73,bahia
1195,1202,7,14,4410,15276566,73,bahia
1202,1209,7,9,4410,15276566,73,bahia
1209,1216,7,5,4351,15276566,73,bahia
1216,1223,7,8,3997,15276566,73,bahia
1223,1230,7,7,3997,15276566,73,bahia
1230,1237,7,8,3997,15276566,73,bahia
1237,1244,7,6,3997,15276566,73,bahia
1244,1251,7,3,3997,15276566,73,bahia
1251,1258,7,11,3997,15276566,73,bahia
1258,1265,7,4,3997,15276566,73,bahia
1265,1272,7,6,3997,15276566,73,bahia
1272,1279,7,10,3778,15276566,73,bahia
1279,1286,7,2,3486,15276566,73,bahia
1286,1293,7,5,3486,15276566,73,bahia
1293,1300,7,5,3486,15276566,73,bahia
1300,1307,7,4,3486,15276566,73,bahia
1307,1314,7,5,3815,15276566,73,bahia
1314,1321,7,0,3815,15276566,73,bahia
1321,1328,7,1,3815,15276566,73,bahia
1328,1335,7,5,3815,15276566,73,bahia
1335,1342,7,5,3851,15276566,73,bahia
1342,1349,7,2,3878,15276566,73,bahia
1349,1356,7,3,3878,15276566,73,bahia
1356,1363,7,3,3878,15276566,73,bahia
1363,1370,7,5,3784,15276566,73,bahia
1370,1377,7,2,3549,15276566,73,bahia
1377,1384,7,4,3549,15276566,73,bahia
1384,1391,7,6,3549,15276566,73,bahia
1391,1398,7,2,3549,15276566,73,bahia
1398,1405,7,2,3693,15276566,73,bahia
1405,1412,7,3,3717,15276566,73,bahia
1412,1419,7,3,3717,15276566,73,bahia
1419,1426,7,0,3717,15276566,73,bahia
1426,1433,7,3,3689,15276566,73,bahia
1433,1440,7,2,3668,15276566,73,bahia
1440,1447,7,1,3668,15276566,73,bahia
1447,1454,7,3,3668,15276566,73,bahia
1454,1461,7,10,3660,15276566,73,bahia
936,943,7,1,2699,9345173,73,pernambuco
943,950,7,8,2765,9345173,73,pernambuco
950,957,7,6,2765,9345173,73,pernambuco
957,964,7,7,2765,9345173,73,pernambuco
964,971,7,12,2765,9345173,73,pernambuco
971,978,7,9,2770,9345173,73,pernambuco
978,985,7,14,2772,9345173,73,pernambuco
985,992,7,18,2772,9345173,73,pernambuco
992,999,7,21,2772,9345173,73,pernambuco
999,1006,7,26,2658,9345173,73,pernambuco
1006,1013,7,33,2506,9345173,73,pernambuco
1013,1020,7,33,2506,9345173,73,pernambuco
1020,1027,7,60,2506,9345173,73,pernambuco
1027,1034,7,82,2506,9345173,73,pernambuco
1034,1041,7,142,2590,9345173,73,pernambuco
1041,1048,7,56,2590,9345173,73,pernambuco
1048,1055,7,197,2590,9345173,73,pernambuco
1055,1062,7,189,2590,9345173,73,pernambuco
1062,1069,7,103,2505,9345173,73,pernambuco
1069,1076,7,77,2471,9345173,73,pernambuco
1076,1083,7,66,2471,9345173,73,pernambuco
1083,1090,7,52,2471,9345173,73,pernambuco
1090,1097,7,49,2475,9345173,73,pernambuco
1097,1104,7,41,2485,9410336,73,pernambuco
1104,1111,7,59,2485,9410336,73,pernambuco
1111,1118,7,42,2485,9410336,73,pernambuco
1118,1125,7,56,2485,9410336,73,pernambuco
1125,1132,7,37,3091,9410336,73,pernambuco
1132,1139,7,53,3192,9410336,73,pernambuco
1139,1146,7,47,3192,9410336,73,pernambuco
