startDay,endDay,buckets,microCeph,births,N_H,L_H,local
775,782,7,0,1098,2922037,73.1,salvador
782,789,7,0,1098,2922037,73.1,salvador
789,796,7,0,1098,2922037,73.1,salvador
796,803,7,0,1098,2922037,73.1,salvador
803,810,7,0,1098,2922037,73.1,salvador
810,817,7,0,1098,2922037,73.1,salvador
817,824,7,0,1098,2922037,73.1,salvador
824,831,7,0,1098,2922037,73.1,salvador
831,838,7,0,1098,2922037,73.1,salvador
838,845,7,0,1098,2922037,73.1,salvador
845,852,7,0,1098,2922037,73.1,salvador
852,859,7,0,1098,2922037,73.1,salvador
859,866,7,0,1098,2922037,73.1,salvador
866,873,7,0,1098,2922037,73.1,salvador
873,880,7,0,1098,2922037,73.1,salvador
880,887,7,0,1098,2922037,73.1,salvador
887,894,7,0,1098,2922037,73.1,salvador
894,901,7,0,1098,2922037,73.1,salvador
901,908,7,0,1098,2922037,73.1,salvador
908,915,7,0,1098,2922037,73.1,salvador
915,922,7,1,1098,2922037,73.1,salvador
922,929,7,0,1098,2922037,73.1,salvador
929,936,7,1,1098,2922037,73.1,salvador
936,943,7,0,1098,2922037,73.1,salvador
943,950,7,1,1098,2922037,73.1,salvador
950,957,7,2,1098,2922037,73.1,salvador
957,964,7,9,1098,2922037,73.1,salvador
964,971,7,10,1098,2922037,73.1,salvador
971,978,7,1,1098,2922037,73.1,salvador
978,985,7,4,1098,2922037,73.1,salvador
985,992,7,9,1098,2922037,73.1,salvador
992,999,7,5,1098,2922037,73.1,salvador
999,1006,7,9,1098,2922037,73.1,salvador
1006,1013,7,5,1098,2922037,73.1,salvador
1013,1020,7,8,1098,2922037,73.1,salvador
1020,1027,7,11,1098,2922037,73.1,salvador
1027,1034,7,10,1098,2922037,73.1,salvador
1034,1041,7,11,1098,2922037,73.1,salvador
1041,1048,7,9,1098,2922037,73.1,salvador
1048,1055,7,13,1098,2922037,73.1,salvador
1055,1062,7,26,1098,2922037,73.1,salvador
1062,1069,7,29,1098,2922037,73.1,salvador
1069,1076,7,21,1098,2922037,73.1,salvador
1076,1083,7,12,1098,2922037,73.1,salvador
1083,1090,7,23,1098,2922037,73.1,salvador
1090,1097,7,14,1098,2922037,73.1,salvador
1097,1104,7,20,1098,2922037,73.1,salvador
1104,1111,7,21,1098,2922037,73.1,salvador
1111,1118,7,13,1098,2922037,73.1,salvador
1118,1125,7,17,1098,2922037,73.1,salvador
1125,1132,7,9,1098,2922037,73.1,salvador
1132,1139,7,12,1098,2922037,73.1,salvador
1139,1146,7,10,1098,2922037,73.1,salvador
1146,1153,7,2,1098,2922037,73.1,salvador
1153,1160,7,6,1098,2922037,73.1,salvador
1160,1167,7,3,1098,2922037,73.1,salvador
